Date,Price,Open,High,Low,Amount,Return
2012/12/10,13.4,13.4,13.6,13.3,24.67,0.00000000 
2012/12/11,13.6,13.4,13.7,13.3,28.05,0.00970000 
2012/12/12,13.7,13.6,13.8,13.3,37.68,0.01030000 
2012/12/13,13.7,13.7,13.8,13.5,24.2,0.00000000 
2012/12/14,13.6,13.7,13.9,13,70.14,-0.00730000 
2012/12/15,13.5,13.6,13.6,13.4,15.19,-0.00810000 
2012/12/16,13.3,13.5,13.7,13.1,42.76,-0.01410000 
2012/12/17,13.3,13.3,13.5,12.8,63.63,-0.00380000 
2012/12/18,13.3,13.3,13.4,13.1,23.22,0.00380000 
2012/12/19,13.6,13.3,13.6,13.2,38.81,0.02260000 
2012/12/20,13.5,13.6,13.7,13.3,32.98,-0.00590000 
2012/12/21,13.5,13.5,13.6,13.4,25.33,0.00000000 
2012/12/22,13.4,13.5,13.6,13.3,14.78,-0.00960000 
2012/12/23,13.3,13.4,13.5,13,23.98,-0.00450000 
2012/12/24,13.4,13.3,13.4,13.2,16.69,0.00530000 
2012/12/25,13.4,13.4,13.4,13.1,13.17,0.00000000 
2012/12/26,13.5,13.4,13.5,13.2,15.84,0.00900000 
2012/12/27,13.4,13.5,13.5,13.3,19.82,-0.00370000 
2012/12/28,13.4,13.4,13.6,13.3,23.81,0.00000000 
2012/12/29,13.4,13.4,13.7,13.3,26.15,0.00000000 
2012/12/30,13.4,13.4,13.6,13.4,11.76,0.00370000 
2012/12/31,13.5,13.4,13.6,13.4,15.05,0.00450000 
2013/1/1,13.3,13.5,13.6,13.2,28.41,-0.01550000 
2013/1/2,13.3,13.3,13.4,13.2,17.97,0.00000000 
2013/1/3,13.4,13.3,13.5,13.3,18.03,0.00900000 
2013/1/4,13.5,13.4,13.5,13.3,29.64,0.00750000 
2013/1/5,13.4,13.5,13.6,13.3,21.33,-0.00440000 
2013/1/6,13.4,13.4,13.5,13.4,12.74,0.00000000 
2013/1/7,13.6,13.4,13.6,13.4,25.48,0.01040000 
2013/1/8,13.7,13.6,13.9,13.5,42.8,0.01100000 
2013/1/9,13.8,13.7,13.9,13.6,28.61,0.00000000 
2013/1/10,14.1,13.8,14.3,13.8,51.81,0.02690000 
2013/1/11,14.1,14.1,14.4,13.9,40.44,0.00000000 
2013/1/12,14.2,14.1,14.3,14,26.93,0.00710000 
2013/1/13,14.1,14.2,14.3,13.9,38.33,-0.00840000 
2013/1/14,14.3,14.1,14.4,14.1,22.1,0.01270000 
2013/1/15,14.3,14.3,14.5,14,51.57,-0.00350000 
2013/1/16,14.7,14.3,14.7,14.2,45.53,0.03370000 
2013/1/17,15.5,14.7,15.7,14.6,65.49,0.05230000 
2013/1/18,15.7,15.5,16,15.4,56.1,0.01290000 
2013/1/19,15.6,15.7,15.8,15.3,34.59,-0.00510000 
2013/1/20,15.7,15.6,15.9,15.5,25.98,0.00510000 
2013/1/21,16.8,15.7,17,15.6,61.5,0.07010000 
2013/1/22,17.3,16.8,17.6,16.6,60.98,0.02740000 
2013/1/23,17.5,17.3,17.6,16.8,49.44,0.01390000 
2013/1/24,16.9,17.5,19.2,15.6,172.01,-0.03430000 
2013/1/25,17.4,16.9,17.8,15.4,80.77,0.02960000 
2013/1/26,17.9,17.4,17.9,16.5,34.81,0.02760000 
2013/1/27,17.8,17.9,18,17.2,23.77,-0.00340000 
2013/1/28,18.7,17.8,18.9,17.8,57.67,0.05050000 
2013/1/29,19.5,18.7,19.8,18.7,86.08,0.04330000 
2013/1/30,19.7,19.5,19.8,19.1,45.07,0.00870000 
2013/1/31,20.4,19.7,21.4,19.5,99.23,0.03600000 
2013/2/1,20.5,20.4,21.1,20.3,49.92,0.00440000 
2013/2/2,19.6,20.5,20.5,18,80.5,-0.04240000 
2013/2/3,20.6,19.6,20.9,19.4,34.24,0.04890000 
2013/2/4,20.4,20.6,21,19.9,52.22,-0.00780000 
2013/2/5,20.6,20.4,20.8,20.2,29.21,0.00830000 
2013/2/6,21.2,20.6,21.3,20.6,51.99,0.02820000 
2013/2/7,22.1,21.2,22.2,20.8,64.26,0.04580000 
2013/2/8,22.7,22.1,22.8,22,48.65,0.02300000 
2013/2/9,23.6,22.7,24,22.6,38.13,0.04370000 
2013/2/10,24,23.6,24.1,22.7,56.43,0.01350000 
2013/2/11,24.6,24,24.7,23.6,29.53,0.02840000 
2013/2/12,25.2,24.6,25.8,24.3,74.24,0.02110000 
2013/2/13,24.2,25.2,26.3,24.2,90.15,-0.03850000 
2013/2/14,27.2,24.2,27.6,21.7,145.74,0.12480000 
2013/2/15,27.1,27.2,27.5,26.1,51.71,-0.00440000 
2013/2/16,27.2,27.1,27.5,26.8,18.83,0.00440000 
2013/2/17,26.8,27.2,27.4,25,77.04,-0.01510000 
2013/2/18,27,26.8,27.1,26.4,29.74,0.00520000 
2013/2/19,29.4,27,29.6,26.8,99.7,0.09170000 
2013/2/20,29.6,29.4,29.9,29,37.21,0.00780000 
2013/2/21,29.8,29.6,30,29.3,34.73,0.00340000 
2013/2/22,30.3,29.8,31.3,29.7,66.95,0.01680000 
2013/2/23,29.8,30.3,30.7,28,72.28,-0.01490000 
2013/2/24,29.9,29.8,30.4,29.2,24.28,0.00300000 
2013/2/25,30.4,29.9,30.4,29.5,26.78,0.01710000 
2013/2/26,31.1,30.4,31.7,30.1,42.86,0.02300000 
2013/2/27,30.9,31.1,31.6,30.8,30.47,-0.00640000 
2013/2/28,33.4,30.9,34.5,30.9,126.52,0.08030000 
2013/3/1,34.5,33.4,34.9,32.9,39.79,0.03360000 
2013/3/2,34.3,34.5,34.8,33.2,36.66,-0.00720000 
2013/3/3,34.5,34.3,34.5,33.8,12.53,0.00730000 
2013/3/4,36.2,34.5,36.7,34.2,46.77,0.04780000 
